SensorId,Timestamp,SequenceNumber,SoilMoisture,SoilTemperature,SoilPH,Alert
SoilSensor_001,2026-06-11T14:19:01,1,59.51,24.2,6.35,NORMAL
SoilSensor_002,2026-06-11T14:19:02,2,52.02,29.89,6.71,NORMAL
SoilSensor_003,2026-06-11T14:19:03,3,64.06,24.7,6.48,NORMAL
SoilSensor_001,2026-06-11T14:19:04,4,48.54,25.75,6.55,NORMAL
SoilSensor_002,2026-06-11T14:19:05,5,48.48,25.59,6.68,NORMAL
SoilSensor_003,2026-06-11T14:19:06,6,57.81,25.76,6.63,NORMAL
SoilSensor_001,2026-06-11T14:19:07,7,62.57,24.05,6.83,NORMAL
SoilSensor_002,2026-06-11T14:19:08,8,60.57,26.72,6.24,NORMAL
SoilSensor_003,2026-06-11T14:19:09,9,65.23,26.69,6.18,NORMAL
SoilSensor_001,2026-06-11T14:19:10,10,49.74,30.78,6.64,NORMAL
SoilSensor_002,2026-06-11T14:19:11,11,25.3,28.29,6.98,IRRIGATION_NEEDED
SoilSensor_003,2026-06-11T14:19:12,12,23.52,30.64,6.66,IRRIGATION_NEEDED
SoilSensor_001,2026-06-11T14:19:13,13,23.77,29.64,6.14,IRRIGATION_NEEDED
SoilSensor_002,2026-06-11T14:19:14,14,52.1,26.32,6.17,NORMAL
SoilSensor_003,2026-06-11T14:19:15,15,52.19,24.81,6.35,NORMAL
SoilSensor_001,2026-06-11T14:19:16,16,59.44,26.92,6.43,NORMAL
SoilSensor_002,2026-06-11T14:19:17,17,51.77,26.14,6.94,NORMAL
SoilSensor_003,2026-06-11T14:19:18,18,59.66,28.87,6.25,NORMAL
SoilSensor_001,2026-06-11T14:19:19,19,61.12,34.14,6.99,NORMAL
SoilSensor_002,2026-06-11T14:19:20,20,59.52,28.46,6.72,NORMAL
SoilSensor_003,2026-06-11T14:19:21,21,63.17,30.21,6.31,NORMAL
SoilSensor_001,2026-06-11T14:19:22,22,48.58,26.52,6.34,NORMAL
SoilSensor_002,2026-06-11T14:19:23,23,51.8,31.54,7.36,NORMAL
SoilSensor_003,2026-06-11T14:19:24,24,59.8,27.17,6.92,NORMAL
SoilSensor_001,2026-06-11T14:19:25,25,56.26,26.12,6.32,NORMAL
SoilSensor_002,2026-06-11T14:19:26,26,77.36,28.68,6.91,NORMAL
SoilSensor_003,2026-06-11T14:19:27,27,55.19,25.75,7.0,NORMAL
SoilSensor_001,2026-06-11T14:19:28,28,57.17,24.73,6.14,NORMAL
SoilSensor_002,2026-06-11T14:19:29,29,49.97,29.02,6.81,NORMAL
SoilSensor_003,2026-06-11T14:19:30,30,55.6,24.51,6.44,NORMAL
SoilSensor_001,2026-06-11T14:19:31,31,65.93,28.23,6.97,NORMAL
SoilSensor_002,2026-06-11T14:19:32,32,63.49,24.09,5.67,NORMAL
SoilSensor_003,2026-06-11T14:19:33,33,57.67,26.13,6.68,NORMAL
SoilSensor_001,2026-06-11T14:19:34,34,50.01,27.48,6.51,NORMAL
SoilSensor_002,2026-06-11T14:19:35,35,65.17,31.01,6.34,NORMAL
SoilSensor_003,2026-06-11T14:19:36,36,57.01,25.43,6.92,NORMAL
SoilSensor_001,2026-06-11T14:19:37,37,20.98,29.11,6.65,IRRIGATION_NEEDED
SoilSensor_002,2026-06-11T14:19:38,38,50.75,34.62,6.8,NORMAL
SoilSensor_003,2026-06-11T14:19:39,39,57.55,24.0,6.39,NORMAL
SoilSensor_001,2026-06-11T14:19:40,40,48.35,31.43,6.89,NORMAL
SoilSensor_002,2026-06-11T14:19:41,41,62.97,26.46,6.15,NORMAL
SoilSensor_003,2026-06-11T14:19:42,42,63.8,31.58,6.18,NORMAL
SoilSensor_001,2026-06-11T14:19:43,43,56.75,24.55,6.78,NORMAL
SoilSensor_002,2026-06-11T14:19:44,44,61.79,25.03,7.47,NORMAL
SoilSensor_003,2026-06-11T14:19:45,45,52.77,30.98,6.48,NORMAL
SoilSensor_001,2026-06-11T14:19:46,46,51.81,28.31,6.76,NORMAL
SoilSensor_002,2026-06-11T14:19:47,47,51.62,26.49,7.0,NORMAL
SoilSensor_003,2026-06-11T14:19:48,48,59.7,27.5,6.57,NORMAL
SoilSensor_001,2026-06-11T14:19:49,49,77.02,26.7,6.63,NORMAL
SoilSensor_002,2026-06-11T14:19:50,50,52.14,25.76,6.16,NORMAL
SoilSensor_003,2026-06-11T14:19:51,51,59.36,25.83,6.91,NORMAL
SoilSensor_001,2026-06-11T14:19:52,52,63.47,24.57,6.31,NORMAL
SoilSensor_002,2026-06-11T14:19:53,53,60.04,25.71,6.22,NORMAL
SoilSensor_003,2026-06-11T14:19:54,54,64.84,28.57,6.53,NORMAL
SoilSensor_001,2026-06-11T14:19:55,55,62.12,30.46,6.27,NORMAL
SoilSensor_002,2026-06-11T14:19:56,56,49.74,27.45,6.48,NORMAL
SoilSensor_003,2026-06-11T14:19:57,57,56.41,29.83,6.71,NORMAL
SoilSensor_001,2026-06-11T14:19:58,58,65.71,24.79,6.46,NORMAL
SoilSensor_002,2026-06-11T14:19:59,59,54.11,30.89,6.32,NORMAL
SoilSensor_003,2026-06-11T14:20:00,60,51.42,27.59,6.48,NORMAL
